Customer_ID,Age,Gender,City,Unique_Categories,Total_Spend,Avg_Order_Value,Total_Quantity,Total_Discount,Total_Orders,Avg_Session_Time,Avg_Pages_Viewed,Avg_Delivery_Time,Avg_Rating,Returning_Customer,Recency_Days,Cluster,Segment_At Risk Customers,Segment_Low Value Customers,Segment_Regular Customers,Segment_VIP Customers
61,32,0,374,1,1218.98,1218.98,1,0.0,1,3.0,11.0,10.0,4.0,1,215,1,0,0,1,0
62,21,0,735,1,922.6,922.6,2,0.0,1,13.0,8.0,4.0,5.0,1,176,1,0,0,1,0
63,20,0,496,1,377.6,377.6,3,21.9,1,11.0,14.0,11.0,4.0,1,387,2,1,0,0,0
64,44,0,1284,1,164.43,164.43,1,0.0,1,6.0,10.0,3.0,4.0,1,257,3,0,1,0,0
65,51,0,600,1,1344.46,1344.46,2,0.0,1,33.0,10.0,7.0,4.0,1,410,1,0,0,1,0
66,34,0,317,1,1547.76,1547.76,3,0.0,1,14.0,7.0,3.0,1.0,1,168,2,1,0,0,0
67,47,0,600,1,2613.26,2613.26,1,21.9,1,14.0,13.0,5.0,3.0,1,300,1,0,0,1,0
68,39,0,349,1,103.32,103.32,1,0.0,1,18.0,8.0,1.0,2.0,1,26,1,0,0,1,0
69,27,0,496,1,193.72,193.72,1,19.59,1,27.0,8.0,7.0,5.0,1,129,1,0,0,1,0
70,39,0,1284,1,52.97,52.97,1,0.0,1,12.0,6.0,4.0,3.0,1,134,3,0,1,0,0
71,53,0,496,1,604.93,604.93,1,0.0,1,9.0,12.0,5.0,4.0,1,9,1,0,0,1,0
72,34,0,600,1,875.18,875.18,2,0.0,1,10.0,11.0,4.0,4.0,1,265,1,0,0,1,0
73,53,0,735,1,1545.66,1545.66,2,0.0,1,27.0,7.0,7.0,3.0,0,155,1,0,0,1,0
74,18,0,1284,1,250.32,250.32,5,13.58,1,24.0,9.0,4.0,5.0,0,352,2,1,0,0,0
75,44,0,600,1,82.63,82.63,4,4.97,1,34.0,14.0,6.0,5.0,1,90,2,1,0,0,0
76,36,0,1284,1,165.02,165.02,1,0.0,1,7.0,13.0,3.0,2.0,1,415,3,0,1,0,0
77,31,0,1284,1,39.77,39.77,1,0.0,1,12.0,6.0,9.0,5.0,0,427,3,0,1,0,0
78,36,0,600,1,465.86,465.86,2,0.0,1,11.0,6.0,4.0,4.0,1,112,1,0,0,1,0
79,18,0,735,1,252.16,252.16,1,0.0,1,47.0,9.0,6.0,5.0,1,334,1,0,0,1,0
80,32,0,257,1,4917.33,4917.33,2,21.9,1,23.0,8.0,11.0,3.0,0,55,0,0,0,0,1
81,39,0,735,1,1278.65,1278.65,5,0.0,1,12.0,6.0,6.0,3.0,0,302,2,1,0,0,0
82,52,0,378,1,42.89,42.89,1,0.0,1,26.0,10.0,8.0,5.0,1,410,1,0,0,1,0
83,28,0,496,1,2289.9,2289.9,1,0.0,1,11.0,8.0,6.0,5.0,0,13,1,0,0,1,0
84,25,0,378,1,265.45,265.45,5,0.0,1,5.0,3.0,6.0,4.0,0,331,2,1,0,0,0
85,28,0,735,1,274.03,274.03,1,21.9,1,15.0,17.0,5.0,5.0,0,7,1,0,0,1,0
86,45,0,257,1,39.28,39.28,2,4.92,1,9.0,7.0,2.0,5.0,0,399,1,0,0,1,0
87,38,0,496,1,781.4,781.4,5,0.0,1,6.0,7.0,4.0,3.0,1,256,2,1,0,0,0
88,28,0,349,1,688.94,688.94,2,21.9,1,7.0,10.0,3.0,4.0,1,308,1,0,0,1,0
89,41,0,735,1,112.21,112.21,1,0.0,1,24.0,8.0,5.0,3.0,1,218,1,0,0,1,0
90,36,0,1284,1,1526.15,1526.15,5,0.0,1,46.0,5.0,2.0,5.0,0,125,2,1,0,0,0
91,46,0,374,1,556.56,556.56,3,21.9,1,9.0,6.0,5.0,5.0,1,23,2,1,0,0,0
92,26,0,1284,1,539.39,539.39,3,21.9,1,21.0,12.0,11.0,4.0,1,264,3,0,1,0,0
93,31,0,600,1,88.89,88.89,4,6.27,1,15.0,9.0,11.0,5.0,0,367,2,1,0,0,0
94,30,0,1284,1,1167.88,1167.88,2,0.0,1,4.0,8.0,7.0,5.0,0,261,3,0,1,0,0
95,18,0,374,1,14.65,14.65,1,0.0,1,37.0,7.0,4.0,3.0,1,269,1,0,0,1,0
96,38,0,210,1,616.85,616.85,5,0.0,1,30.0,11.0,5.0,4.0,1,343,2,1,0,0,0
97,38,0,600,1,444.91,444.91,1,21.9,1,13.0,13.0,9.0,4.0,1,107,1,0,0,1,0
98,35,0,349,1,235.59,235.59,1,0.0,1,14.0,8.0,6.0,4.0,1,314,1,0,0,1,0
99,32,0,600,1,1722.72,1722.72,2,0.0,1,21.0,6.0,14.0,5.0,0,91,1,0,0,1,0
100,18,0,600,1,2291.88,2291.88,4,0.0,1,64.0,6.0,7.0,3.0,1,101,2,1,0,0,0
101,29,0,257,1,220.17,220.17,1,21.9,1,17.0,8.0,7.0,4.0,1,119,1,0,0,1,0
102,30,0,317,1,734.8,734.8,2,0.0,1,22.0,9.0,7.0,5.0,1,414,1,0,0,1,0
103,25,0,349,1,2036.49,2036.49,5,21.9,1,6.0,14.0,6.0,2.0,1,139,2,1,0,0,0
104,33,0,735,1,169.86,169.86,1,17.72,1,5.0,6.0,6.0,4.0,0,125,1,0,0,1,0
105,39,0,496,1,2507.04,2507.04,4,0.0,1,29.0,8.0,6.0,3.0,1,363,2,1,0,0,0
106,57,0,1284,1,1780.56,1780.56,3,0.0,1,12.0,14.0,6.0,4.0,1,177,3,0,1,0,0
107,37,0,600,1,107.61,107.61,1,0.0,1,26.0,5.0,2.0,5.0,1,77,1,0,0,1,0
108,38,0,600,1,226.86,226.86,1,0.0,1,23.0,7.0,1.0,3.0,1,325,1,0,0,1,0
109,34,0,349,1,709.95,709.95,2,21.9,1,8.0,12.0,3.0,5.0,0,367,1,0,0,1,0
110,18,0,317,1,245.23,245.23,1,0.0,1,12.0,12.0,4.0,4.0,1,214,1,0,0,1,0
111,34,0,600,1,54.71,54.71,1,18.95,1,11.0,9.0,10.0,3.0,1,256,1,0,0,1,0
112,35,0,1284,1,68.43,68.43,2,3.85,1,9.0,11.0,9.0,4.0,0,312,3,0,1,0,0
113,64,0,317,1,723.28,723.28,4,0.0,1,7.0,8.0,3.0,5.0,0,123,2,1,0,0,0
114,32,0,1284,1,3144.07,3144.07,1,21.9,1,19.0,15.0,4.0,2.0,0,98,3,0,1,0,0
115,38,0,374,1,33.8,33.8,2,0.0,1,8.0,6.0,5.0,4.0,1,165,1,0,0,1,0
116,34,0,1284,1,89.46,89.46,1,0.0,1,7.0,5.0,15.0,5.0,1,338,3,0,1,0,0
117,20,0,735,1,1044.2,1044.2,3,21.9,1,13.0,12.0,6.0,4.0,0,100,2,1,0,0,0
118,48,0,210,1,89.98,89.98,1,0.0,1,9.0,9.0,14.0,2.0,0,284,1,0,0,1,0
119,44,0,1284,1,7.89,7.89,1,0.0,1,12.0,9.0,7.0,4.0,1,19,3,0,1,0,0
120,44,0,600,1,2196.95,2196.95,5,0.0,1,13.0,6.0,6.0,5.0,1,57,2,1,0,0,0
121,24,0,735,1,323.85,323.85,5,0.0,1,27.0,8.0,2.0,5.0,0,53,2,1,0,0,0
122,51,0,317,1,11.02,11.02,1,2.36,1,11.0,9.0,5.0,1.0,1,422,1,0,0,1,0
123,18,0,317,1,252.12,252.12,2,0.0,1,28.0,11.0,8.0,4.0,1,333,1,0,0,1,0
124,42,0,1284,1,1501.05,1501.05,3,0.0,1,20.0,7.0,4.0,2.0,1,30,3,0,1,0,0
125,61,0,1284,1,185.75,185.75,1,0.0,1,24.0,12.0,10.0,5.0,0,434,3,0,1,0,0
126,23,0,374,1,1003.04,1003.04,2,0.0,1,1.0,8.0,10.0,1.0,1,38,1,0,0,1,0
127,28,0,735,1,466.1,466.1,5,0.0,1,13.0,6.0,2.0,1.0,1,289,2,1,0,0,0
128,36,0,374,1,77.16,77.16,2,0.0,1,11.0,14.0,2.0,5.0,0,245,1,0,0,1,0
129,28,0,1284,1,464.11,464.11,3,21.9,1,10.0,9.0,11.0,2.0,0,313,3,0,1,0,0
130,18,0,1284,1,234.44,234.44,2,0.0,1,17.0,8.0,3.0,4.0,0,417,3,0,1,0,0
131,35,0,374,1,383.14,383.14,3,21.9,1,14.0,13.0,4.0,5.0,1,342,2,1,0,0,0
132,22,0,1284,1,136.26,136.26,1,0.0,1,33.0,15.0,2.0,5.0,1,160,3,0,1,0,0
133,40,0,317,1,1321.2,1321.2,2,0.0,1,24.0,7.0,4.0,3.0,1,2,1,0,0,1,0
134,23,0,1284,1,1609.69,1609.69,5,21.9,1,11.0,11.0,4.0,4.0,1,83,2,1,0,0,0
135,53,0,1284,1,176.88,176.88,1,0.0,1,9.0,5.0,4.0,4.0,1,289,3,0,1,0,0
136,25,0,210,1,1325.6,1325.6,2,0.0,1,6.0,9.0,12.0,4.0,1,342,1,0,0,1,0
137,31,0,600,1,62.99,62.99,1,6.55,1,23.0,6.0,11.0,5.0,1,115,1,0,0,1,0
138,44,0,378,1,270.21,270.21,3,0.0,1,21.0,7.0,5.0,5.0,1,195,1,0,0,1,0
139,20,0,1284,1,1028.88,1028.88,3,0.0,1,29.0,10.0,9.0,5.0,1,248,3,0,1,0,0
140,37,0,496,1,991.71,991.71,5,21.9,1,13.0,5.0,6.0,3.0,0,121,2,1,0,0,0
141,50,0,378,1,64.15,64.15,1,5.46,1,24.0,4.0,10.0,4.0,0,216,1,0,0,1,0
142,18,0,735,1,1442.24,1442.24,4,0.0,1,20.0,7.0,13.0,4.0,1,377,2,1,0,0,0
143,37,0,349,1,472.79,472.79,4,21.9,1,13.0,5.0,6.0,4.0,1,315,2,1,0,0,0
144,38,0,496,1,275.43,275.43,4,9.13,1,15.0,9.0,1.0,2.0,1,379,2,1,0,0,0
145,44,0,735,1,3937.68,3937.68,4,0.0,1,5.0,11.0,10.0,2.0,1,324,2,1,0,0,0
146,20,0,496,1,85.24,85.24,2,0.0,1,38.0,9.0,4.0,3.0,0,69,1,0,0,1,0
147,19,0,496,1,7374.24,7374.24,4,0.0,1,14.0,13.0,8.0,3.0,1,163,0,0,0,0,1
148,41,0,1284,1,346.94,346.94,2,0.0,1,1.0,13.0,17.0,3.0,1,175,3,0,1,0,0
149,38,0,600,1,135.98,135.98,1,21.9,1,10.0,8.0,6.0,3.0,1,316,1,0,0,1,0
150,38,0,735,1,102.45,102.45,1,0.0,1,5.0,10.0,12.0,4.0,0,68,1,0,0,1,0
151,39,0,600,1,100.89,100.89,2,13.23,1,32.0,12.0,9.0,4.0,0,151,1,0,0,1,0
152,26,0,378,1,879.66,879.66,3,0.0,1,11.0,15.0,11.0,4.0,0,231,2,1,0,0,0
153,37,0,600,1,159.53,159.53,1,0.0,1,6.0,7.0,8.0,5.0,1,152,1,0,0,1,0
154,38,0,257,1,257.99,257.99,1,0.0,1,14.0,6.0,7.0,4.0,0,246,1,0,0,1,0
155,26,0,735,1,114.28,114.28,1,0.0,1,17.0,6.0,7.0,5.0,1,265,1,0,0,1,0
156,57,0,600,1,2005.25,2005.25,2,21.9,1,24.0,16.0,6.0,5.0,0,338,1,0,0,1,0
157,40,0,349,1,1406.4,1406.4,4,0.0,1,3.0,8.0,19.0,3.0,0,380,2,1,0,0,0
158,20,0,496,1,42.43,42.43,1,3.46,1,8.0,6.0,6.0,4.0,0,190,1,0,0,1,0
159,42,0,496,1,30.78,30.78,1,7.72,1,14.0,6.0,9.0,4.0,1,198,1,0,0,1,0
160,23,0,1284,1,4731.0,4731.0,2,0.0,1,16.0,8.0,3.0,4.0,1,404,3,0,1,0,0
161,44,0,735,1,339.57,339.57,3,0.0,1,18.0,9.0,16.0,1.0,0,64,2,1,0,0,0
162,48,0,735,1,2099.56,2099.56,2,0.0,1,10.0,7.0,11.0,5.0,1,426,1,0,0,1,0
163,25,0,210,1,221.81,221.81,1,0.0,1,8.0,6.0,4.0,2.0,0,10,1,0,0,1,0
164,46,0,735,1,112.18,112.18,3,9.11,1,4.0,8.0,8.0,5.0,0,394,1,0,0,1,0
165,39,0,317,1,85.71,85.71,1,0.0,1,16.0,12.0,8.0,5.0,1,372,1,0,0,1,0
166,44,0,374,1,1409.61,1409.61,2,21.9,1,6.0,7.0,9.0,4.0,1,129,1,0,0,1,0
167,57,0,735,1,709.65,709.65,3,0.0,1,11.0,10.0,6.0,3.0,0,369,2,1,0,0,0
168,32,0,496,1,28.21,28.21,1,0.0,1,6.0,11.0,3.0,4.0,1,45,1,0,0,1,0
169,25,0,349,1,58.14,58.14,1,0.0,1,12.0,5.0,7.0,3.0,1,102,1,0,0,1,0
170,24,0,317,1,99.2,99.2,1,0.0,1,13.0,10.0,3.0,3.0,1,234,1,0,0,1,0
171,25,0,1284,1,4428.32,4428.32,2,0.0,1,17.0,8.0,17.0,5.0,1,145,3,0,1,0,0
172,34,0,735,1,4690.59,4690.59,3,0.0,1,5.0,8.0,7.0,4.0,1,418,2,1,0,0,0
173,39,0,735,1,617.46,617.46,1,0.0,1,19.0,11.0,2.0,4.0,1,253,1,0,0,1,0
174,38,0,1284,1,176.32,176.32,1,0.0,1,19.0,14.0,5.0,5.0,0,255,3,0,1,0,0
175,44,0,496,1,22.1,22.1,1,2.45,1,7.0,7.0,7.0,2.0,0,145,1,0,0,1,0
176,35,0,317,1,226.5,226.5,2,10.62,1,6.0,12.0,19.0,4.0,1,211,1,0,0,1,0
177,52,0,735,1,318.46,318.46,1,21.9,1,9.0,9.0,3.0,4.0,1,180,1,0,0,1,0
178,31,0,378,1,2848.29,2848.29,1,21.9,1,28.0,13.0,3.0,4.0,0,322,1,0,0,1,0
179,67,0,374,1,705.72,705.72,5,18.88,1,4.0,7.0,6.0,5.0,1,167,2,1,0,0,0
180,42,0,735,1,239.92,239.92,1,0.0,1,18.0,11.0,6.0,5.0,1,10,1,0,0,1,0
181,24,0,1284,1,136.19,136.19,1,21.9,1,15.0,12.0,7.0,4.0,1,445,3,0,1,0,0
182,22,0,378,1,2662.85,2662.85,5,0.0,1,30.0,10.0,8.0,4.0,1,102,2,1,0,0,0
183,40,0,317,1,69.8,69.8,2,0.0,1,20.0,6.0,7.0,4.0,0,81,1,0,0,1,0
184,32,0,374,1,6229.91,6229.91,4,21.9,1,1.0,13.0,14.0,5.0,0,392,0,0,0,0,1
185,43,0,1284,1,16000.85,16000.85,5,0.0,1,23.0,12.0,7.0,5.0,0,101,0,0,0,0,1
186,40,0,1284,1,253.96,253.96,2,21.9,1,9.0,9.0,4.0,3.0,0,176,3,0,1,0,0
187,34,0,1284,1,6776.73,6776.73,3,0.0,1,10.0,14.0,9.0,2.0,1,66,0,0,0,0,1
188,24,0,496,1,6057.69,6057.69,3,0.0,1,6.0,8.0,9.0,5.0,1,314,0,0,0,0,1
189,18,0,378,1,177.71,177.71,3,14.83,1,20.0,11.0,5.0,3.0,0,57,2,1,0,0,0
190,29,0,1284,1,675.6,675.6,1,0.0,1,4.0,10.0,2.0,5.0,0,122,3,0,1,0,0
191,45,0,349,1,176.38,176.38,1,21.9,1,12.0,7.0,5.0,5.0,1,276,1,0,0,1,0
192,37,0,496,1,2450.69,2450.69,1,0.0,1,31.0,8.0,6.0,4.0,1,393,1,0,0,1,0
193,20,0,374,1,253.8,253.8,3,0.0,1,21.0,7.0,2.0,5.0,0,300,1,0,0,1,0
194,37,0,210,1,1684.8,1684.8,3,0.0,1,16.0,9.0,4.0,2.0,1,228,2,1,0,0,0
195,39,0,1284,1,371.88,371.88,3,0.0,1,9.0,15.0,3.0,5.0,1,370,3,0,1,0,0
196,24,0,317,1,274.32,274.32,4,0.0,1,22.0,14.0,3.0,2.0,1,218,2,1,0,0,0
197,36,0,1284,1,81.91,81.91,1,0.0,1,8.0,14.0,6.0,4.0,1,449,3,0,1,0,0
198,35,0,735,1,599.47,599.47,2,21.9,1,18.0,9.0,6.0,4.0,1,81,1,0,0,1,0
199,21,0,317,1,192.16,192.16,2,0.0,1,24.0,6.0,4.0,5.0,1,2,1,0,0,1,0
200,39,0,317,1,1364.56,1364.56,4,0.0,1,8.0,9.0,9.0,2.0,1,82,2,1,0,0,0
201,41,0,600,1,370.0,370.0,4,0.0,1,14.0,9.0,9.0,4.0,1,316,2,1,0,0,0
202,47,0,496,1,149.18,149.18,1,0.0,1,13.0,16.0,2.0,4.0,1,194,1,0,0,1,0
203,47,0,378,1,345.35,345.35,1,0.0,1,19.0,5.0,12.0,4.0,0,60,1,0,0,1,0
204,18,0,349,1,318.36,318.36,2,0.0,1,7.0,9.0,6.0,5.0,0,359,1,0,0,1,0
205,23,0,1284,1,167.61,167.61,1,0.0,1,15.0,10.0,9.0,1.0,0,191,3,0,1,0,0
206,41,0,349,1,397.89,397.89,1,21.9,1,11.0,7.0,9.0,5.0,1,396,1,0,0,1,0
207,41,0,600,1,107.86,107.86,2,0.0,1,25.0,11.0,6.0,5.0,1,5,1,0,0,1,0
208,41,0,600,1,1741.53,1741.53,3,0.0,1,17.0,10.0,10.0,5.0,1,130,2,1,0,0,0
209,75,0,600,1,279.46,279.46,1,0.0,1,18.0,10.0,6.0,4.0,1,298,1,0,0,1,0
210,41,0,600,1,629.32,629.32,1,0.0,1,16.0,5.0,11.0,4.0,0,20,1,0,0,1,0
211,48,0,257,1,496.7,496.7,5,0.0,1,9.0,5.0,2.0,4.0,1,123,2,1,0,0,0
212,46,0,496,1,208.7,208.7,1,0.0,1,7.0,12.0,12.0,5.0,1,191,1,0,0,1,0
213,42,0,257,1,272.56,272.56,2,0.0,1,19.0,10.0,15.0,5.0,1,139,1,0,0,1,0
214,31,0,1284,1,2003.75,2003.75,1,0.0,1,3.0,8.0,6.0,4.0,1,349,3,0,1,0,0
215,44,0,378,1,58.2,58.2,1,0.0,1,8.0,8.0,9.0,5.0,1,372,1,0,0,1,0
216,25,0,349,1,419.19,419.19,4,11.57,1,13.0,11.0,6.0,5.0,1,259,2,1,0,0,0
217,32,0,374,1,875.66,875.66,1,0.0,1,17.0,17.0,2.0,5.0,1,60,1,0,0,1,0
218,29,0,496,1,30.85,30.85,1,0.0,1,5.0,10.0,3.0,5.0,0,368,1,0,0,1,0
219,35,0,496,1,518.07,518.07,2,21.9,1,12.0,11.0,7.0,5.0,1,174,1,0,0,1,0
220,62,0,317,1,1907.76,1907.76,2,0.0,1,14.0,11.0,3.0,5.0,1,52,1,0,0,1,0
221,18,0,349,1,193.51,193.51,1,12.23,1,12.0,17.0,17.0,2.0,1,179,1,0,0,1,0
222,43,0,1284,1,122.46,122.46,1,0.0,1,14.0,9.0,9.0,5.0,1,450,3,0,1,0,0
223,18,0,349,1,4286.8,4286.8,4,0.0,1,9.0,4.0,11.0,4.0,0,144,2,1,0,0,0
224,29,0,600,1,1132.02,1132.02,3,0.0,1,22.0,4.0,3.0,4.0,0,285,2,1,0,0,0
225,48,0,735,1,592.09,592.09,1,0.0,1,16.0,8.0,5.0,5.0,0,200,1,0,0,1,0
226,35,0,317,1,78.19,78.19,1,0.0,1,12.0,12.0,3.0,5.0,1,441,1,0,0,1,0
227,22,0,600,1,2424.75,2424.75,4,21.9,1,3.0,16.0,10.0,5.0,1,393,2,1,0,0,0
228,26,0,349,1,109.85,109.85,1,0.0,1,15.0,10.0,2.0,4.0,1,265,1,0,0,1,0
229,43,0,735,1,3948.76,3948.76,2,21.9,1,5.0,9.0,7.0,4.0,1,1,2,1,0,0,0
230,26,0,1284,1,706.83,706.83,2,21.9,1,3.0,8.0,2.0,1.0,0,25,3,0,1,0,0
231,37,0,600,1,146.1,146.1,1,0.0,1,7.0,8.0,5.0,4.0,1,37,1,0,0,1,0
232,35,0,1284,1,347.05,347.05,1,21.9,1,17.0,8.0,5.0,5.0,1,293,3,0,1,0,0
233,27,0,378,1,27.62,27.62,1,6.33,1,17.0,12.0,12.0,4.0,0,328,1,0,0,1,0
234,60,0,735,1,785.55,785.55,1,0.0,1,1.0,11.0,9.0,4.0,1,421,1,0,0,1,0
235,42,0,600,1,26.92,26.92,2,0.0,1,16.0,6.0,7.0,3.0,0,327,1,0,0,1,0
236,18,0,1284,1,157.19,157.19,1,0.0,1,4.0,8.0,3.0,5.0,1,1,3,0,1,0,0
237,37,0,735,1,49.3,49.3,1,17.41,1,22.0,9.0,3.0,2.0,0,160,1,0,0,1,0
238,27,0,349,1,532.88,532.88,2,0.0,1,19.0,10.0,4.0,5.0,0,410,1,0,0,1,0
239,45,0,1284,1,10295.6,10295.6,5,0.0,1,3.0,9.0,5.0,4.0,0,407,0,0,0,0,1
